time,poa_global,transmitted
2024-11-23 13:20:00-05:00,794.086081261235,714.6774731351115
2024-11-23 13:25:00-05:00,785.8318124786244,707.248631230762
2024-11-23 13:30:00-05:00,777.1061157483924,699.3955041735531
2024-11-23 13:35:00-05:00,767.9067030375876,691.1160327338289
2024-11-23 13:40:00-05:00,758.2308505992438,682.4077655393195
2024-11-23 13:45:00-05:00,748.0753427216974,673.2678084495277
2024-11-23 13:50:00-05:00,737.4363875413098,663.6927487871789
2024-11-23 13:55:00-05:00,726.3095348645699,653.6785813781129
2024-11-23 14:00:00-05:00,714.6895830362565,643.2206247326309
2024-11-23 14:05:00-05:00,702.5704564221,632.3134107798901
2024-11-23 14:10:00-05:00,689.9450898068903,620.9505808262013
2024-11-23 14:15:00-05:00,676.8052685306661,609.1247416775996
2024-11-23 14:20:00-05:00,663.1414735319337,596.8273261787403
2024-11-23 14:25:00-05:00,648.9426736072247,584.0484062465023
2024-11-23 14:30:00-05:00,634.1961174416786,570.7765056975107
2024-11-23 14:35:00-05:00,618.8870644166088,556.998357974948
2024-11-23 14:40:00-05:00,602.9984956698376,542.6986461028538
2024-11-23 14:45:00-05:00,586.5107830344218,527.8597047309796
2024-11-23 14:50:00-05:00,569.4012873672598,512.4611586305339
2024-11-23 14:55:00-05:00,551.6439361471653,496.47954253244876
2024-11-23 15:00:00-05:00,533.2087081332091,479.88783731988826
2024-11-23 15:05:00-05:00,514.0610985876015,462.6549887288413
2024-11-23 15:10:00-05:00,494.16149514622435,444.74534563160194
2024-11-23 15:15:00-05:00,473.464561815224,426.1181056337016
2024-11-23 15:20:00-05:00,451.91859106980553,406.726731962825
2024-11-23 15:25:00-05:00,429.46496535960046,386.51846882364043
2024-11-23 15:30:00-05:00,406.03784485511216,365.43406036960096
2024-11-23 15:35:00-05:00,381.56430038114314,343.40787034302883
2024-11-23 15:40:00-05:00,355.9654131183115,320.3688718064804
2024-11-23 15:45:00-05:00,329.15901829810053,296.2431164682905
2024-11-23 15:50:00-05:00,301.0655435083785,270.95898915754066
2024-11-23 15:55:00-05:00,271.6191504757832,244.4572354282049
2024-11-23 16:00:00-05:00,240.78824877194694,216.70942389475226
2024-11-23 16:05:00-05:00,208.6118516373889,187.75066647365
2024-11-23 16:10:00-05:00,175.26231531791473,157.73608378612326
2024-11-23 16:15:00-05:00,141.14918322069963,127.03426489862967
2024-11-23 16:20:00-05:00,107.0787434949631,96.3708691454668
2024-11-23 16:25:00-05:00,74.46184901523904,67.01566411371513
2024-11-23 16:30:00-05:00,45.47029899025807,40.923269091232264
2024-11-23 16:35:00-05:00,22.80961964278924,20.528657678510317
2024-11-23 16:40:00-05:00,8.536085412061485,7.682476870855337
2024-11-23 16:45:00-05:00,0.0,0.0
2024-11-23 16:50:00-05:00,0.0,0.0
2024-11-23 16:55:00-05:00,0.0,0.0
2024-11-23 17:00:00-05:00,0.0,0.0
2024-11-23 17:05:00-05:00,0.0,0.0
2024-11-23 17:10:00-05:00,0.0,0.0
2024-11-23 17:15:00-05:00,0.0,0.0
2024-11-23 17:20:00-05:00,0.0,0.0
2024-11-23 17:25:00-05:00,0.0,0.0
2024-11-23 17:30:00-05:00,0.0,0.0
2024-11-23 17:35:00-05:00,0.0,0.0
2024-11-23 17:40:00-05:00,0.0,0.0
2024-11-23 17:45:00-05:00,0.0,0.0
2024-11-23 17:50:00-05:00,0.0,0.0
2024-11-23 17:55:00-05:00,0.0,0.0
2024-11-23 18:00:00-05:00,0.0,0.0
